nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm0285768,Maria Ford,\N,\N,"actress,miscellaneous","tt0109570,tt0177967,tt0113981,tt0116420"
nm0401945,Renée Humphrey,1975,\N,"actress,casting_director,producer","tt0109855,tt0261392,tt0112757,tt0113749"
nm3076455,David Grieco,\N,\N,actor,"tt0105958,tt0312172,tt0411475,tt0198903"
nm0393655,Brian Hooks,\N,\N,"actor,producer,director","tt0770752,tt0145660,tt0118798,tt0462160"
nm0942668,N'Bushe Wright,1970,\N,actress,"tt0120611,tt0112819,tt0109842,tt0105885"
nm0522324,Faizon Love,1968,\N,"actor,writer,soundtrack","tt0397078,tt0113118,tt0191397,tt0319343"
nm0246985,E-40,1967,\N,"music_artist,soundtrack,actor","tt3371366,tt0359013,tt3721936,tt0120609"
nm0870204,Stuart Townsend,1972,\N,"actor,director,writer","tt0238546,tt0311429,tt0460745,tt0850253"
nm0005028,Kate Hudson,1979,\N,"actress,soundtrack,producer","tt0181875,tt0901476,tt0251127,tt0770752"
nm0862916,Tommy Tiernan,1969,\N,"actor,writer,director","tt1804497,tt11997646,tt0199314,tt5198068"
nm0640323,Frances O'Connor,\N,\N,"actress,director,writer","tt0212720,tt3065204,tt0300556,tt0178737"
nm0925234,Mike White,1970,\N,"writer,producer,actor","tt0279113,tt0332379,tt0273923,tt0200530"
nm0919363,Chris Weitz,1969,\N,"producer,writer,director","tt0356910,tt3748528,tt0276751,tt0385752"
nm0648913,Lupe Ontiveros,1942,2012,"actress,miscellaneous,producer","tt0120094,tt0296166,tt0119822,tt0200530"
nm0003991,Beth Colt,\N,\N,"actress,producer,assistant_director","tt0200530,tt0120197,tt0101064,tt0108758"
nm0543682,Javier Manrique,1968,\N,"actor,talent_agent,casting_director","tt2404738,tt0112922,tt0165561,tt0117131"
nm0025745,Elena Anaya,1975,\N,"actress,producer,soundtrack","tt0451279,tt1189073,tt1263750,tt0338526"
nm0848514,Idelfonso Tamayo,1942,\N,actor,"tt0110440,tt13620914,tt0073499,tt0357991"
nm0044054,Bruto Pomeroy,\N,\N,"actor,casting_department,producer","tt0198093,tt2583392,tt0112922,tt28695581"
nm0001244,Sadie Frost,1965,\N,"actress,producer,director","tt0211577,tt0103874,tt0346156,tt0199727"
nm0001538,Jonny Lee Miller,1972,\N,"actor,director,soundtrack","tt0297284,tt0219653,tt0402022,tt0117951"
nm0000179,Jude Law,1972,\N,"actor,producer,soundtrack","tt0134119,tt2278388,tt0376541,tt0346156"
nm0935653,Ray Winstone,1957,\N,"actor,producer,soundtrack","tt0407887,tt0442933,tt0203119,tt0159365"
nm0562214,Yuliya Mayarchuk,1977,\N,actress,"tt11967052,tt0204098,tt0200192,tt0393329"
nm0073270,Jarno Berardi,\N,\N,actor,"tt0200192,tt0445788"
nm0638111,Francesca Nunzi,\N,\N,actress,"tt0174931,tt22828058,tt31317343,tt0204098"
nm0663244,Max Parodi,1967,\N,actor,"tt1252502,tt0372909,tt0267261,tt0480919"
nm0856977,Thalía,1971,\N,"music_artist,actress,soundtrack","tt7781198,tt0202200,tt0163464,tt0211851"
nm0735467,Paul Rodriguez,1955,\N,"actor,writer,producer","tt0250687,tt0255653,tt0309377,tt0412080"
nm0221554,Rosanna DeSoto,1950,\N,actress,"tt0102975,tt0079336,tt0094027,tt0093378"
nm0209850,Kamar de los Reyes,1967,2023,"actor,writer,producer","tt2387409,tt0062595,tt2647544"
nm0499910,Kai Lehtinen,1958,\N,"actor,director,writer","tt0187831,tt0249215,tt0167336,tt0330802"
nm0753600,Tanjalotta Räikkä,1962,\N,"actress,soundtrack,location_management","tt0188135,tt0119769,tt1125595,tt2192882"
nm0771510,Lina Schiffer,\N,\N,actress,"tt0341522,tt8039938,tt25503926,tt0199696"
nm0427049,Osmo Jokinen,\N,\N,actor,"tt1296443,tt0199696,tt0355101,tt0346385"
nm0000232,Sharon Stone,1958,\N,"actress,producer,soundtrack","tt0108162,tt0112641,tt0114214,tt0103772"
nm0175262,Billy Connolly,1942,\N,"actor,writer,composer","tt0119280,tt0144117,tt0443701,tt1217209"
nm0004743,Gil Bellows,1967,\N,"actor,producer,director","tt0110395,tt8594276,tt0111161,tt4687882"
nm0810619,Jurnee Smollett,\N,\N,"actress,producer,soundtrack","tt0427309,tt7713068,tt5648882,tt6905686"
nm0005305,Piper Perabo,1976,\N,"actress,producer,soundtrack","tt0482571,tt0200550,tt4236770,tt6189022"
nm0305081,Adam Garcia,1973,\N,"actor,soundtrack,producer","tt0200550,tt0200027,tt0361467,tt3402236"
nm0000422,John Goodman,1952,\N,"actor,soundtrack,producer","tt0101410,tt1907668,tt1179933,tt1024648"
nm0004742,Maria Bello,1967,\N,"actress,producer,writer","tt0318374,tt0200550,tt0399146,tt4786282"
nm1573024,Conchita Leeflang,\N,\N,"actress,soundtrack","tt0201519,tt0417220,tt0112167,tt11115834"
nm1053523,Dante,1970,\N,"writer,manager,miscellaneous","tt0364829,tt3249524,tt5632272,tt0799870"
nm0416177,A.J. Jamal,\N,\N,"actor,writer,director","tt0116126,tt1391828,tt0201519,tt0457706"
nm1085664,Gretchen Janke,\N,\N,"actress,director,producer","tt0181796,tt0302020,tt0765463,tt0201519"
nm0000276,Sean Astin,1971,\N,"actor,producer,director","tt0167261,tt0167260,tt0120737,tt0089218"
nm0040695,David Atkinson,\N,\N,"actor,production_manager,miscellaneous","tt1489428,tt0252028,tt6772802,tt7395114"
nm0066664,Leslie Bega,\N,\N,"actress,miscellaneous,soundtrack","tt0141842,tt0113161,tt0247082,tt0090444"
nm0000973,Benjamin Bratt,1963,\N,"actor,producer,director","tt2380307,tt0181865,tt0212346,tt0098844"
nm0000459,Timothy Hutton,1960,\N,"actor,producer,director","tt0343737,tt0081283,tt0115639,tt1103987"
nm0002029,Maria Grazia Cucinotta,1968,\N,"actress,producer,director","tt0110877,tt0118782,tt0143145,tt1161864"
nm0001424,Udo Kier,\N,\N,"actor,soundtrack,writer","tt1389072,tt2762506,tt7456722,tt10832274"
nm0789894,Natalie Shaw,1980,\N,actress,"tt0412142,tt2586720,tt2676350,tt0108972"
nm0430074,Leslie Jordan,1955,2022,"actor,writer,soundtrack","tt0157246,tt0107254,tt1454029,tt0204640"
nm0151359,Erin Chandler,\N,\N,"actress,writer,producer","tt0102978,tt0886506,tt0201737,tt0122132"
nm0671032,Mark Pellegrino,1965,\N,"actor,producer,soundtrack","tt0269347,tt0166924,tt0460681,tt0118715"
nm0000615,John Ritter,1948,2003,"actor,producer,soundtrack","tt0100419,tt0075596,tt0117666,tt0307987"
nm0531808,Kelly Macdonald,1976,\N,"actress,soundtrack","tt2763304,tt0280707,tt0477348,tt1217209"
nm0203738,Gwenllian Davies,1914,2007,actress,"tt0434124,tt0358856,tt0420396,tt0119079"
nm0394283,Sue Hopkins,\N,\N,actress,tt0201670
nm0249963,Eileen Edwards,\N,\N,actress,tt0201670
nm0922342,Shane West,1978,\N,"actor,producer,soundtrack","tt0281358,tt0311429,tt0384683,tt0219653"
nm0005448,Marla Sokoloff,1980,\N,"actress,director,writer","tt0118437,tt0242423,tt0202402,tt0186589"
nm0005281,Jodi Lyn O'Keefe,1978,\N,actress,"tt0202402,tt0455275,tt0120694,tt0160862"
nm0409430,Manu Intiraymi,1978,\N,"actor,producer,writer","tt0139239,tt8652584,tt1616195,tt0112178"
nm0832703,Bebo Storti,1956,\N,actor,"tt0119794,tt0465711,tt1320297,tt4117534"
nm0340159,Piero Gremigni,\N,\N,actor,"tt0184240,tt0122648,tt0202316"
nm0759269,Graziano Salvadori,1964,\N,"actor,director,writer","tt4621872,tt2357303,tt3324662,tt0115446"
nm0321417,Niki Giustini,1964,2017,"actor,writer","tt8644088,tt3324662,tt26674106,tt1267498"
nm0879726,Marc van Uchelen,1970,2013,"actor,director,writer","tt1876535,tt0103842,tt0114830,tt0116577"
nm0517054,Rifka Lodeizen,1972,\N,"actress,writer,casting_director","tt6840014,tt1132593,tt1870949,tt9537450"
nm0406163,Nadja Hüpscher,1972,\N,"actress,soundtrack,writer","tt0188460,tt1691232,tt0920448,tt0450412"
nm0521560,Natasja Loturco,1967,\N,"actress,assistant_director,casting_director","tt0116577,tt0247303,tt0466416,tt0201888"
nm0096524,Kristi Russell,1968,\N,"casting_director,casting_department,producer","tt3007640,tt5938484,tt1785123,tt10698510"
nm0723339,Alex Rice,1972,\N,actress,"tt0351519,tt1325004,tt1324999,tt1673434"
nm0739747,Timilee Romolini,1970,\N,"actress,producer,writer","tt2390334,tt0286181,tt0167350,tt0784939"
nm0926355,Sewell Whitney,\N,\N,actor,"tt9310136,tt3032476,tt7394816,tt8129806"
nm0240831,Sean Dugan,\N,\N,actor,"tt1176251,tt8236336,tt0118421,tt1825133"
nm0770346,Bethann Schebece,1968,\N,"miscellaneous,assistant_director,actress","tt0181984,tt0252076,tt0120667,tt0959337"
nm0514186,Tom Lissi,\N,\N,actor,tt0203047
nm0674782,Harold Perrineau,1963,\N,"actor,producer,soundtrack","tt0117509,tt0242653,tt0119051,tt0234215"
nm0461878,Markus Knüfken,1965,\N,actor,"tt0119472,tt0298064,tt0076980,tt0135790"
nm0696600,Eckhard Preuß,1961,\N,"actor,writer,director","tt0488438,tt1872028,tt4023868,tt0103487"
nm0905050,Margret Völker,1966,\N,actress,"tt0103875,tt0322975,tt0412888,tt3118090"
nm0872037,Jeanne Tremsal,1977,\N,"actress,writer,producer","tt1198211,tt12888672,tt0960790,tt0484382"
nm0861361,Callie Thorne,1969,\N,"actress,producer","tt0455275,tt1657505,tt0106028,tt0306414"
nm0756083,Bill Sage,1962,\N,"actor,producer","tt9110170,tt0370986,tt0144084,tt0181984"
nm0281575,Noah Fleiss,1984,\N,"actor,producer,miscellaneous","tt0393109,tt0160672,tt0107277,tt2742544"
nm0713880,Rufus Read,\N,\N,actor,"tt0098844,tt0147612,tt0202856,tt0141842"
nm0193515,Steve Curtis,\N,\N,actor,"tt0203580,tt0240500,tt0198893,tt0189184"
nm0675221,Michelle Perry,\N,\N,actress,"tt0203580,tt0179344"
nm0667040,Zoe Paul,1974,\N,actress,"tt0259216,tt0223911,tt0224086,tt0203580"
nm0028191,Suzette Andrea,1968,\N,"make_up_department,actress","tt0434741,tt0368002,tt0286855,tt0203580"
nm0000663,Dominique Swain,1980,\N,"actress,producer,assistant_director","tt0203975,tt0119094,tt0119558,tt0426883"
nm0700399,Ben Pullen,1972,\N,"actor,producer,writer","tt0122541,tt0119947,tt0103442,tt0251504"
nm0005152,Peggy Lipton,1946,2019,"actress,soundtrack","tt0062589,tt0098936,tt0119925,tt0105665"
nm0213446,David Deblinger,\N,\N,"actor,writer,director","tt0167811,tt0203259,tt1403981,tt0138862"
nm0000707,Sean Young,1959,\N,"actress,miscellaneous,director","tt0087182,tt1856101,tt0093640,tt0083658"
nm0001137,William Devane,1939,\N,"actor,writer,director","tt0074860,tt0078638,tt0120784,tt0186566"
nm0219301,Tony Denman,1979,\N,"actor,writer,art_director","tt0116282,tt0279781,tt0195462,tt0139239"
nm0862932,Jacob Tierney,1979,\N,"actor,producer,writer","tt4647692,tt0339827,tt1295072,tt2559458"
nm0039051,Elizabeth Ashley,1939,\N,actress,"tt0147612,tt0059712,tt0077355,tt0081759"
nm1352922,Kat Brower,\N,\N,"actress,miscellaneous,producer","tt9848452,tt5997416,tt1699188,tt9805908"
nm0638308,Francesco Nuti,1955,2023,"actor,writer,director","tt0090220,tt0090801,tt0084151,tt0110708"
nm0626202,Francesca Neri,1964,\N,"actress,producer,writer","tt0212985,tt0099484,tt0233469,tt0118819"
nm0478569,Agathe de La Fontaine,1972,\N,actress,"tt0170705,tt0110390,tt0202405,tt0401383"
nm0146843,Marina Giulia Cavalli,1960,\N,actress,"tt0097914,tt0194727,tt0096689,tt0192710"
nm0728346,Michael Rispoli,1960,\N,"actor,writer,producer","tt0376136,tt1250777,tt0114924,tt0162677"
nm0531808,Kelly Macdonald,1976,\N,"actress,soundtrack","tt2763304,tt0280707,tt0477348,tt1217209"
nm0621393,Kathrine Narducci,1960,\N,"actress,producer,director","tt13833958,tt8080122,tt1302006,tt8772296"
nm0176723,Kevin Conway,1942,2020,"actor,director","tt0107007,tt0445990,tt0146309,tt0120749"
nm0654110,Clive Owen,1964,\N,"actor,producer,soundtrack","tt0376541,tt0454848,tt0206634,tt0280707"
nm0000545,Helen Mirren,1945,\N,"actress,producer,director","tt0436697,tt0975645,tt1245526,tt0280707"
nm0446303,David Kelly,1929,2012,actor,"tt0166396,tt0291341,tt0486655,tt0367594"
nm0165049,Warren Clarke,1947,2014,"actor,producer,director","tt0083943,tt0066921,tt0147760,tt0088286"
nm0005327,Freddie Prinze Jr.,1976,\N,"actor,producer,writer","tt0130018,tt0119345,tt0160862,tt0267913"
nm0001231,Claire Forlani,1971,\N,"actress,producer","tt0460780,tt0132347,tt0119643,tt0113749"
nm0057075,Brendon Ryan Barrett,1986,\N,actor,"tt0127276,tt0204175,tt0176943,tt0207585"
nm0858858,Gay Thomas Wilson,1955,\N,"actress,producer,script_department","tt0141842,tt0337592,tt0106028,tt0204175"
nm0075003,Kjell Bergqvist,1953,\N,"actor,soundtrack,writer","tt0204932,tt1359421,tt0338309,tt0323998"
nm0815853,Anastasios Soulis,1987,\N,"actor,writer","tt0204932,tt0287826,tt4716466,tt1295905"
nm0770675,Rebecca Scheja,1989,\N,"actress,soundtrack","tt0432044,tt0122825,tt12304420,tt0118554"
nm0632184,Cecilia Nilsson,1957,\N,"actress,soundtrack","tt0907702,tt0204932,tt0441579,tt1375669"
nm0237834,James Dreyfus,1968,\N,actor,"tt0125439,tt0112194,tt0167599,tt0359078"
nm0268383,Tom Farrelly,\N,\N,"writer,actor,miscellaneous","tt5611024,tt0332658,tt11719808,tt0111958"
nm0506637,Tania Levey,\N,\N,actress,"tt0175402,tt0096565,tt0096555,tt0204885"
nm0506314,Adam Levy,\N,\N,actor,"tt5992164,tt0172495,tt5180504,tt7671070"
nm0000554,Sam Neill,1947,\N,"actor,producer,director","tt0107822,tt4698684,tt0107290,tt0104850"
nm4177597,Billy Mitchell,\N,2007,actor,"tt0094481,tt0205873,tt0463270,tt0259442"
nm0358774,Roz Hammond,\N,\N,"actress,writer,director","tt8496508,tt0205873,tt0110598,tt0934744"
nm0834067,Christopher-Robin Street,\N,\N,actor,"tt0375222,tt0108709,tt0205873,tt0318904"
nm0672389,Alan Pentony,\N,\N,actor,"tt0132666,tt0222608,tt0205408,tt0113107"
nm0175839,Lesley Conroy,\N,\N,"actress,writer,producer","tt3463106,tt1020950,tt16761306,tt0787515"
nm0121779,Maclean Burke,\N,\N,"actor,miscellaneous","tt0170930,tt0488121,tt0107207,tt0120815"
nm1107519,Anne MacFarlane,\N,\N,"actress,miscellaneous","tt0821999,tt0205408,tt0141974,tt0218838"
nm0000285,Alec Baldwin,1958,\N,"actor,producer,soundtrack","tt0104348,tt0318374,tt0407887,tt1230414"
nm0573097,Cody McMains,1985,\N,actor,"tt0204946,tt0205461,tt0277371,tt0318883"
nm0575184,Russell Means,1939,2012,"actor,soundtrack,producer","tt0446013,tt0104691,tt0114148,tt0110632"
nm0001228,Peter Fonda,1940,2019,"actor,director,writer","tt0486946,tt0064276,tt0120402,tt0381849"
nm0904710,Dana Vávrová,1967,2009,"actress,director,writer","tt0132663,tt0086879,tt0460492,tt0095295"
nm0059303,Jirí Bartoska,1947,\N,"actor,producer,executive","tt4568328,tt0163019,tt0108912,tt0218705"
nm0045167,Miroslava Babúrková,\N,\N,actress,"tt0330506,tt0109071,tt0120765,tt0203056"
nm0050721,Miroslav Ballek,\N,\N,actor,tt0203056
nm0511841,Lisa Lindgren,1968,\N,actress,"tt12254818,tt0203166,tt0907702,tt0440601"
nm0638824,Michael Nyqvist,1960,2017,"actor,producer","tt1229238,tt2911666,tt0203166,tt1132620"
nm0760571,Emma Samuelsson,1985,\N,"actress,stunts","tt0303966,tt0300140,tt0356232,tt0203166"
nm0450269,Sam Kessel,1989,\N,actor,"tt0203166,tt0171851,tt0293667,tt0387151"
nm0004785,Delta Burke,1956,\N,"actress,producer,soundtrack","tt0090418,tt0161233,tt0207201,tt0112228"
nm0000889,Bonnie Bedelia,1948,\N,"actress,soundtrack","tt0085656,tt0099423,tt0095016,tt0100404"
nm0000556,Olivia Newton-John,1948,2022,"music_artist,soundtrack,actress","tt0077631,tt0081777,tt0086494,tt0119094"
nm0311912,Kirk Geiger,1969,\N,"actor,stunts,cinematographer","tt5634960,tt0120685,tt4916744,tt0204640"
nm0039019,Ardythe Ashley,\N,\N,"actress,writer,editor","tt0119672,tt0204698,tt0379825"
nm0070924,Vivienne Benesch,\N,\N,actress,"tt0204698,tt0305206,tt0780622,tt0494864"
nm0007108,Robin Dorian,\N,\N,"actress,director,producer","tt0112112,tt0169376,tt0260924,tt0204698"
nm0242755,Ryan Dunn,\N,\N,actress,"tt0171854,tt0098844,tt0204698"
nm0000379,Kirsten Dunst,1982,\N,"actress,producer,soundtrack","tt1527186,tt0110148,tt0145487,tt0338013"
nm0244630,Eliza Dushku,1980,\N,"actress,producer,executive","tt0204946,tt0261392,tt1135300,tt0295700"
nm0103038,Jesse Bradford,1979,\N,"actor,producer,director","tt0100404,tt0283026,tt0204946,tt0418689"
nm0005517,Gabrielle Union,1972,\N,"actress,producer,soundtrack","tt10298840,tt0172156,tt0147800,tt0204946"
nm0256960,Harry Enfield,1961,\N,"actor,writer,producer","tt0976015,tt0205177,tt3749730,tt0108796"
nm0121755,Kathy Burke,1964,\N,"actress,script_department,director","tt0205177,tt0127536,tt0167599,tt1340800"
nm0406975,Rhys Ifans,1967,\N,"actor,soundtrack,producer","tt0948470,tt3774114,tt0125439,tt1521197"
nm0292182,Laura Fraser,1975,\N,actress,"tt3877200,tt0903747,tt0183790,tt3032476"
nm0000152,Richard Gere,1949,\N,"actor,soundtrack,producer","tt0084434,tt0100405,tt0119395,tt0299658"
nm0000166,Helen Hunt,1963,\N,"actress,producer,director","tt0103484,tt0117998,tt0119822,tt0455805"
nm0000396,Farrah Fawcett,1947,2009,"actress,producer,soundtrack","tt0074812,tt0079285,tt0091024,tt0082136"
nm0000368,Laura Dern,1967,\N,"actress,producer,writer","tt0090756,tt0107290,tt2305051,tt7653254"
nm0786315,Nicole Severine,\N,\N,actress,"tt0205391,tt0328962,tt0393029"
nm0774618,Rike Scholle,\N,\N,actress,tt0205391
nm0894976,Stanislas Verspyck,\N,\N,actor,"tt1010463,tt0205391"
nm0624608,Andreas Beckett,1969,\N,"actor,miscellaneous,producer","tt4643084,tt1378167,tt2109248,tt0072562"
nm0309348,Alessandro Gassmann,1965,\N,"actor,writer,director","tt2381293,tt15229674,tt0388482,tt12593218"
nm0865571,Gianmarco Tognazzi,1967,\N,actor,"tt0101620,tt1859650,tt0373931,tt1188988"
nm0033899,Manuela Arcuri,1977,\N,actress,"tt0115446,tt0349248,tt0953111,tt18309986"
nm0581028,Marisa Merlini,1923,2008,"actress,soundtrack","tt0063032,tt0474917,tt0049832,tt0046159"
nm0009996,Leslie Ackerman,\N,\N,"actress,manager,writer","tt0205521,tt0077778,tt0074533,tt0077031"
nm0020122,Peter Allas,\N,\N,"actor,director","tt12874376,tt0316654,tt0257076,tt0104187"
nm3578037,Faith Altman,\N,\N,"actress,miscellaneous","tt0106053,tt2036356,tt0205521"
nm0078789,Steve Bessen,\N,\N,actor,"tt0119177,tt0137330,tt0205521,tt0115365"
nm0000154,Mel Gibson,1956,\N,"actor,producer,director","tt0104714,tt0117438,tt0118883,tt0112573"
nm0000166,Helen Hunt,1963,\N,"actress,producer,director","tt0103484,tt0117998,tt0119822,tt0455805"
nm0000673,Marisa Tomei,1964,\N,"actress,producer,soundtrack","tt0104952,tt1125849,tt0207201,tt0247425"
nm0000257,Alan Alda,1936,\N,"actor,miscellaneous,soundtrack","tt7653254,tt0097123,tt0082405,tt0068098"
nm0722290,Robert Rhine,\N,\N,"actor,producer,miscellaneous","tt5755280,tt18548186,tt14214670,tt7677420"
nm0670861,Elaine Pelino,\N,\N,"actress,writer,art_department","tt0206395,tt0206347,tt0102211,tt0101323"
nm0015827,Michael Alaimo,\N,\N,"actor,writer","tt0078966,tt0117705,tt0085970,tt0122247"
nm0085622,Michael Blackburn,\N,\N,"actor,assistant_director,producer","tt0083031,tt0206395,tt0443564,tt0110364"
nm0405976,Mavie Hörbiger,1979,\N,"actress,soundtrack","tt12001350,tt7902124,tt5061564"
nm0777649,Simon Schwarz,1971,\N,"actor,producer","tt5916734,tt4324518,tt4129876,tt0141824"
nm0078866,Pierre Besson,1967,\N,actor,"tt1642620,tt0924167,tt0806910,tt1130914"
nm0118345,Detlev Buck,1962,\N,"actor,director,writer","tt0117135,tt1368443,tt1802810,tt0102190"
nm0004993,Desmond Harrington,1976,\N,actor,"tt0773262,tt0381798,tt5011816,tt1974419"
nm0604188,Steven Moreno,\N,\N,"cinematographer,camera_department,producer","tt11788956,tt2327191,tt3377796,tt27870209"
nm0799866,Peter Simmons,\N,\N,"actor,production_designer,soundtrack","tt0101124,tt0112483,tt0110971,tt0115270"
nm0893257,Milo Ventimiglia,1977,\N,"actor,producer,director","tt1034032,tt5555260,tt0964539,tt0813715"
nm0004851,Penélope Cruz,1974,\N,"actress,soundtrack,producer","tt0497465,tt1298650,tt0441909,tt0259711"
nm0073162,Murilo Benício,1972,\N,"actor,director,writer","tt0289800,tt2303077,tt0420362,tt9365634"
nm0674782,Harold Perrineau,1963,\N,"actor,producer,soundtrack","tt0117509,tt0242653,tt0119051,tt0234215"
nm0275417,Mark Feuerstein,1971,\N,"actor,producer,writer","tt2101569,tt1319735,tt0388125,tt0207201"
nm0081547,Josef Bierbichler,1948,\N,"actor,writer,director","tt0371710,tt1149362,tt0480057,tt3397096"
nm0088179,Monica Bleibtreu,1944,2009,"actress,writer","tt1234554,tt0461694,tt0130827,tt0250573"
nm0354198,Jeanette Hain,1969,\N,"actress,director","tt1452297,tt0976051,tt0962736,tt0896872"
nm0410099,Elfriede Irrall,1938,2018,actress,"tt0206608,tt1594539,tt0062581,tt0923914"
nm0024404,Lauren Ambrose,1978,\N,"actress,soundtrack,producer","tt0206226,tt0248654,tt0127723,tt0386117"
nm0107183,Nicholas Brendon,1971,\N,"actor,producer,soundtrack","tt0118276,tt2866360,tt2308606,tt0206226"
nm0004959,Thomas Gibson,\N,\N,"actor,director,writer","tt0118303,tt0452046,tt0110490,tt0104231"
nm0203808,Kimberley Davies,1973,\N,actress,"tt0206226,tt0330471,tt0227005,tt0088580"
nm0569510,Catherine McGoohan,1952,\N,"actress,miscellaneous","tt0265208,tt0368709,tt1532503,tt0337741"
nm0816910,Bernie Sparago,\N,\N,actor,tt0208376
nm0926124,Brian Whitman,\N,\N,"actor,composer","tt0208614,tt0208376,tt1422916"
nm0566054,Heather Simpson,\N,\N,"actress,producer,executive","tt0158622,tt3920596,tt5536400"
nm0000176,Nastassja Kinski,1961,\N,"actress,producer,soundtrack","tt0087884,tt0083722,tt0111400,tt0080009"
nm0001096,Timothy Dalton,1946,\N,"actor,soundtrack","tt0102803,tt0425112,tt0093428,tt0097742"
nm0954225,Kevin Zegers,1984,\N,"actor,soundtrack,producer","tt1097643,tt0397442,tt0363547,tt0407265"
nm0278026,Cameron Finley,1987,\N,"actor,soundtrack","tt0119313,tt0108550,tt0096542,tt0119509"
nm0109253,Enrico Brignano,1966,\N,"actor,director,writer","tt0206128,tt1410276,tt0463872,tt6085872"
nm0069722,Vittoria Belvedere,1972,\N,actress,"tt0340529,tt0108661,tt0220074,tt0194926"
nm0765010,Samuela Sardo,1977,\N,actress,"tt0100807,tt0290958,tt0284741,tt0178132"
nm0702181,Isabel Pérez,\N,\N,actress,tt0206128
nm0123299,Stephen Burrows,\N,\N,"miscellaneous,actor,director","tt9445054,tt0478285,tt0208050,tt0098904"
nm0001513,Tim Matheson,1947,\N,"actor,director,producer","tt0200276,tt1832979,tt0077975,tt9077530"
nm0000183,Traci Lords,1968,\N,"actress,soundtrack,producer","tt1984153,tt0099329,tt0120611,tt1007028"
nm0073128,A.J. Benza,1962,\N,"actor,writer,producer","tt0117438,tt3591398,tt0479143,tt0118958"
nm0000110,Kenneth Branagh,1960,\N,"actor,producer,director","tt0107616,tt3402236,tt0097499,tt0116477"
nm0000705,Robin Wright,1966,\N,"actress,producer,director","tt0217869,tt0442933,tt0093779,tt0109830"
nm0389423,Suzi Hofrichter,1989,\N,actress,"tt0403328,tt0207524,tt1247691,tt0413573"
nm0001655,Lynn Redgrave,1943,2010,"actress,soundtrack","tt0362269,tt0060453,tt0120684,tt0117631"
nm0016263,Antonio Albanese,1964,\N,"actor,writer,director","tt0474917,tt0118054,tt3074784,tt0179174"
nm0072768,Fabrizio Bentivoglio,1957,\N,"actor,writer,director","tt2465578,tt0112980,tt0100699,tt0210360"
nm0078282,Toni Bertorelli,1948,2017,actor,"tt0335345,tt0494834,tt0114096,tt0317965"
nm0546515,Ivano Marescotti,1946,2023,actor,"tt0349683,tt0134119,tt0212985,tt0102164"
nm0505764,Anna Thomson,1953,\N,actress,"tt0089017,tt0109506,tt0105695,tt0108399"
nm0364807,Jamie Harris,1963,\N,actor,"tt1318514,tt0482571,tt0402399,tt0339291"
nm0489837,Louise Lasser,1939,\N,"actress,writer","tt0074021,tt0147612,tt0066808,tt0132347"
nm0595281,Robert Modica,1931,2015,actor,"tt0064873,tt0066011,tt0102432,tt0088513"
nm0686375,Michele Placido,1946,\N,"actor,director,writer","tt11877386,tt0112980,tt0418110,tt0086779"
nm0659985,Francesco Paolantoni,1956,\N,actor,"tt0112352,tt4093008,tt0206087,tt0195335"
nm0767758,Lunetta Savino,1957,\N,actress,"tt0206087,tt4117534,tt1405810,tt3190534"
nm0813035,Emilio Solfrizzi,1962,\N,"actor,writer,director","tt0402755,tt1194600,tt0177073,tt1863370"
nm0545862,Elisabeth Margoni,1945,\N,actress,"tt0314331,tt0310787,tt0082949,tt0191013"
nm0029962,Álex Angulo,1953,2014,"actor,producer","tt0118819,tt1784167,tt0457430,tt0112922"
nm0054224,Pilar Bardem,1939,2021,actress,"tt0435189,tt0118819,tt0113918,tt1295075"
nm0173062,Juan Carlos Colombo,\N,\N,actor,"tt0109444,tt0221344,tt0104029,tt0210426"
nm0162911,Roberto Citran,1955,\N,"actor,miscellaneous","tt0238112,tt0875034,tt0395169,tt0111459"
nm0751705,Nicola Russo,\N,\N,actor,"tt0113951,tt0113773,tt0110801,tt0206351"
nm0401052,Candice Hugo,\N,\N,"actress,writer","tt1064980,tt1230423,tt0152185,tt0238295"
nm0301623,Federico Galante,\N,\N,"actor,writer,producer","tt10278520,tt1230520,tt1866379,tt13879366"
nm0390738,Josh Holland,1974,\N,"actor,producer","tt0333780,tt0118500,tt0465343,tt0117894"
nm0952026,Tracy Zahoryin,1976,\N,"actress,producer","tt0166276,tt0116151,tt0171356,tt0207745"
nm0282664,Brent Florence,\N,\N,"actor,editor,writer","tt1513760,tt2151739,tt0421121,tt4076916"
nm0498990,Christian Leffler,\N,\N,actor,"tt0112022,tt0363276,tt0199685,tt0185155"
nm0000673,Marisa Tomei,1964,\N,"actress,producer,soundtrack","tt0104952,tt1125849,tt0207201,tt0247425"
nm0000352,Vincent D'Onofrio,1959,\N,"actor,producer,soundtrack","tt0119654,tt0109707,tt0209958,tt0093058"
nm0852466,Holland Taylor,1943,\N,"actress,soundtrack,writer","tt0372532,tt0118437,tt0250494,tt0369179"
nm1036204,Mick Weber,\N,\N,"actor,director,writer","tt1620950,tt3089678,tt2920086,tt0208196"
nm0491402,Hugh Laurie,1959,\N,"actor,producer,writer","tt0412142,tt1485749,tt0377062,tt1964418"
nm0000613,Joely Richardson,1965,\N,"actress,producer,soundtrack","tt1881002,tt0361217,tt0187393,tt1932718"
